Region/Country/Area,Population density and surface area,Year,Series,Value
32,Argentina,2015,Sex ratio (males per 100 females),98.2
32,Argentina,2015,Population aged 0 to 14 years old (percentage),24.9
32,Argentina,2015,Population aged 60+ years old (percentage),15.3
32,Argentina,2015,Population density,15.6
32,Argentina,2022,Population mid-year estimates (millions),45.41
32,Argentina,2022,Population mid-year estimates for males (millions),22.53
32,Argentina,2022,Population mid-year estimates for females (millions),22.88
32,Argentina,2022,Sex ratio (males per 100 females),98.5
32,Argentina,2022,Population aged 0 to 14 years old (percentage),22.8
32,Argentina,2022,Population aged 60+ years old (percentage),16.4
32,Argentina,2022,Population density,16.3
32,Argentina,2022,Surface area (thousand km2),"2,796"
32,Argentina,2024,Population mid-year estimates (millions),45.70
32,Argentina,2024,Population mid-year estimates for males (millions),22.68
32,Argentina,2024,Population mid-year estimates for females (millions),23.02
32,Argentina,2024,Sex ratio (males per 100 females),98.5
32,Argentina,2024,Population aged 0 to 14 years old (percentage),21.6
32,Argentina,2024,Population aged 60+ years old (percentage),16.8
32,Argentina,2024,Population density,16.4
51,Armenia,2010,Population mid-year estimates (millions),2.93
51,Armenia,2010,Population mid-year estimates for males (millions),1.35
51,Armenia,2010,Population mid-year estimates for females (millions),1.58
51,Armenia,2010,Sex ratio (males per 100 females),84.9
51,Armenia,2010,Population aged 0 to 14 years old (percentage),19.3
51,Armenia,2010,Population aged 60+ years old (percentage),14.5
51,Armenia,2010,Population density,103.0
51,Armenia,2015,Population mid-year estimates (millions),2.92
51,Armenia,2015,Population mid-year estimates for males (millions),1.34
51,Armenia,2015,Population mid-year estimates for females (millions),1.58
51,Armenia,2015,Sex ratio (males per 100 females),85.2
51,Armenia,2015,Population aged 0 to 14 years old (percentage),20.1
51,Armenia,2015,Population aged 60+ years old (percentage),16.1
51,Armenia,2015,Population density,102.6
51,Armenia,2022,Population mid-year estimates (millions),2.88
51,Armenia,2022,Population mid-year estimates for males (millions),1.33
51,Armenia,2022,Population mid-year estimates for females (millions),1.55
51,Armenia,2022,Sex ratio (males per 100 females),86.2
51,Armenia,2022,Population aged 0 to 14 years old (percentage),19.9
51,Armenia,2022,Population aged 60+ years old (percentage),19.9
51,Armenia,2022,Population density,101.2
51,Armenia,2022,Surface area (thousand km2),30
51,Armenia,2024,Population mid-year estimates (millions),2.97
51,Armenia,2024,Population mid-year estimates for males (millions),1.38
51,Armenia,2024,Population mid-year estimates for females (millions),1.59
51,Armenia,2024,Sex ratio (males per 100 females),86.7
51,Armenia,2024,Population aged 0 to 14 years old (percentage),19.2
51,Armenia,2024,Population aged 60+ years old (percentage),20.4
51,Armenia,2024,Population density,104.5
533,Aruba,2010,Population mid-year estimates (millions),0.10
533,Aruba,2010,Population mid-year estimates for males (millions),0.05
533,Aruba,2010,Population mid-year estimates for females (millions),0.05
533,Aruba,2010,Sex ratio (males per 100 females),91.3
533,Aruba,2010,Population aged 0 to 14 years old (percentage),20.8
533,Aruba,2010,Population aged 60+ years old (percentage),14.6
533,Aruba,2010,Population density,556.2
533,Aruba,2015,Population mid-year estimates (millions),0.10
533,Aruba,2015,Population mid-year estimates for males (millions),0.05
533,Aruba,2015,Population mid-year estimates for females (millions),0.05
533,Aruba,2015,Sex ratio (males per 100 females),90.2
533,Aruba,2015,Population aged 0 to 14 years old (percentage),19.0
533,Aruba,2015,Population aged 60+ years old (percentage),18.0
533,Aruba,2015,Population density,578.8
533,Aruba,2022,Population mid-year estimates (millions),0.11
533,Aruba,2022,Population mid-year estimates for males (millions),0.05
533,Aruba,2022,Population mid-year estimates for females (millions),0.06
533,Aruba,2022,Sex ratio (males per 100 females),89.4
533,Aruba,2022,Population aged 0 to 14 years old (percentage),17.5
533,Aruba,2022,Population aged 60+ years old (percentage),23.3
533,Aruba,2022,Population density,598.8
533,Aruba,2022,Surface area (thousand km2),0
533,Aruba,2024,Population mid-year estimates (millions),0.11
533,Aruba,2024,Population mid-year estimates for males (millions),0.05
533,Aruba,2024,Population mid-year estimates for females (millions),0.06
533,Aruba,2024,Sex ratio (males per 100 females),89.5
533,Aruba,2024,Population aged 0 to 14 years old (percentage),16.8
533,Aruba,2024,Population aged 60+ years old (percentage),24.8
533,Aruba,2024,Population density,600.4
36,Australia,2010,Population mid-year estimates (millions),22.14
36,Australia,2010,Population mid-year estimates for males (millions),11.02
36,Australia,2010,Population mid-year estimates for females (millions),11.12
36,Australia,2010,Sex ratio (males per 100 females),99.1
36,Australia,2010,Population aged 0 to 14 years old (percentage),19.1
36,Australia,2010,Population aged 60+ years old (percentage),18.9
36,Australia,2010,Population density,2.9
36,Australia,2015,Population mid-year estimates (millions),23.95
36,Australia,2015,Population mid-year estimates for males (millions),11.89
36,Australia,2015,Population mid-year estimates for females (millions),12.06
36,Australia,2015,Sex ratio (males per 100 females),98.6
36,Australia,2015,Population aged 0 to 14 years old (percentage),18.9
36,Australia,2015,Population aged 60+ years old (percentage),20.3
36,Australia,2015,Population density,3.1
36,Australia,2022,Population mid-year estimates (millions),26.20
36,Australia,2022,Population mid-year estimates for males (millions),13.00
36,Australia,2022,Population mid-year estimates for females (millions),13.20
36,Australia,2022,Sex ratio (males per 100 females),98.5
36,Australia,2022,Population aged 0 to 14 years old (percentage),18.2
36,Australia,2022,Population aged 60+ years old (percentage),22.8
36,Australia,2022,Population density,3.4
36,Australia,2022,Surface area (thousand km2),"7,692"
36,Australia,2024,Population mid-year estimates (millions),26.71
36,Australia,2024,Population mid-year estimates for males (millions),13.25
36,Australia,2024,Population mid-year estimates for females (millions),13.46
36,Australia,2024,Sex ratio (males per 100 females),98.5
36,Australia,2024,Population aged 0 to 14 years old (percentage),17.8
36,Australia,2024,Population aged 60+ years old (percentage),23.5
36,Australia,2024,Population density,3.5
40,Austria,2010,Population mid-year estimates (millions),8.37
40,Austria,2010,Population mid-year estimates for males (millions),4.07
40,Austria,2010,Population mid-year estimates for females (millions),4.29
40,Austria,2010,Sex ratio (males per 100 females),94.9
40,Austria,2010,Population aged 0 to 14 years old (percentage),14.8
40,Austria,2010,Population aged 60+ years old (percentage),23.2
40,Austria,2010,Population density,101.4
40,Austria,2015,Population mid-year estimates (millions),8.64
40,Austria,2015,Population mid-year estimates for males (millions),4.24
40,Austria,2015,Population mid-year estimates for females (millions),4.41
40,Austria,2015,Sex ratio (males per 100 females),96.1
40,Austria,2015,Population aged 0 to 14 years old (percentage),14.3
40,Austria,2015,Population aged 60+ years old (percentage),24.0
40,Austria,2015,Population density,104.8
40,Austria,2022,Population mid-year estimates (millions),9.06
40,Austria,2022,Population mid-year estimates for males (millions),4.46
40,Austria,2022,Population mid-year estimates for females (millions),4.60
40,Austria,2022,Sex ratio (males per 100 females),96.9
40,Austria,2022,Population aged 0 to 14 years old (percentage),14.3
40,Austria,2022,Population aged 60+ years old (percentage),26.7
40,Austria,2022,Population density,109.8
40,Austria,2022,Surface area (thousand km2),84
40,Austria,2024,Population mid-year estimates (millions),9.12
40,Austria,2024,Population mid-year estimates for males (millions),4.49
40,Austria,2024,Population mid-year estimates for females (millions),4.63
40,Austria,2024,Sex ratio (males per 100 females),97.0
40,Austria,2024,Population aged 0 to 14 years old (percentage),14.2
40,Austria,2024,Population aged 60+ years old (percentage),27.9
40,Austria,2024,Population density,110.5
31,Azerbaijan,2010,Population mid-year estimates (millions),9.15
31,Azerbaijan,2010,Population mid-year estimates for males (millions),4.40
31,Azerbaijan,2010,Population mid-year estimates for females (millions),4.75
31,Azerbaijan,2010,Sex ratio (males per 100 females),92.6
31,Azerbaijan,2010,Population aged 0 to 14 years old (percentage),22.3
31,Azerbaijan,2010,Population aged 60+ years old (percentage),8.3
31,Azerbaijan,2010,Population density,110.7
31,Azerbaijan,2015,Population mid-year estimates (millions),9.75
31,Azerbaijan,2015,Population mid-year estimates for males (millions),4.72
31,Azerbaijan,2015,Population mid-year estimates for females (millions),5.03
31,Azerbaijan,2015,Sex ratio (males per 100 females),93.9
31,Azerbaijan,2015,Population aged 0 to 14 years old (percentage),23.5
31,Azerbaijan,2015,Population aged 60+ years old (percentage),9.2
31,Azerbaijan,2015,Population density,118.0
31,Azerbaijan,2022,Population mid-year estimates (millions),10.30
31,Azerbaijan,2022,Population mid-year estimates for males (millions),5.04
31,Azerbaijan,2022,Population mid-year estimates for females (millions),5.25
31,Azerbaijan,2022,Sex ratio (males per 100 females),96.0
31,Azerbaijan,2022,Population aged 0 to 14 years old (percentage),22.8
31,Azerbaijan,2022,Population aged 60+ years old (percentage),13.0
31,Azerbaijan,2022,Population density,124.6
31,Azerbaijan,2022,Surface area (thousand km2),87
31,Azerbaijan,2024,Population mid-year estimates (millions),10.34
31,Azerbaijan,2024,Population mid-year estimates for males (millions),5.07
31,Azerbaijan,2024,Population mid-year estimates for females (millions),5.27
31,Azerbaijan,2024,Sex ratio (males per 100 females),96.1
31,Azerbaijan,2024,Population aged 0 to 14 years old (percentage),21.8
31,Azerbaijan,2024,Population aged 60+ years old (percentage),14.2
31,Azerbaijan,2024,Population density,125.1
44,Bahamas,2010,Population mid-year estimates (millions),0.37
44,Bahamas,2010,Population mid-year estimates for males (millions),0.18
44,Bahamas,2010,Population mid-year estimates for females (millions),0.19
44,Bahamas,2010,Sex ratio (males per 100 females),94.7
44,Bahamas,2010,Population aged 0 to 14 years old (percentage),23.3
44,Bahamas,2010,Population aged 60+ years old (percentage),13.0
44,Bahamas,2010,Population density,68.6
44,Bahamas,2015,Population mid-year estimates (millions),0.39
44,Bahamas,2015,Population mid-year estimates for males (millions),0.19
44,Bahamas,2015,Population mid-year estimates for females (millions),0.20
44,Bahamas,2015,Sex ratio (males per 100 females),93.3
44,Bahamas,2015,Population aged 0 to 14 years old (percentage),21.3
44,Bahamas,2015,Population aged 60+ years old (percentage),14.0
44,Bahamas,2015,Population density,71.9
44,Bahamas,2022,Population mid-year estimates (millions),0.40
44,Bahamas,2022,Population mid-year estimates for males (millions),0.19
44,Bahamas,2022,Population mid-year estimates for females (millions),0.21
44,Bahamas,2022,Sex ratio (males per 100 females),91.8
44,Bahamas,2022,Population aged 0 to 14 years old (percentage),18.8
44,Bahamas,2022,Population aged 60+ years old (percentage),16.1
44,Bahamas,2022,Population density,74.2
44,Bahamas,2022,Surface area (thousand km2),14
44,Bahamas,2024,Population mid-year estimates (millions),0.40
44,Bahamas,2024,Population mid-year estimates for males (millions),0.19
44,Bahamas,2024,Population mid-year estimates for females (millions),0.21
44,Bahamas,2024,Sex ratio (males per 100 females),91.4
44,Bahamas,2024,Population aged 0 to 14 years old (percentage),17.9
44,Bahamas,2024,Population aged 60+ years old (percentage),17.0
44,Bahamas,2024,Population density,74.9
48,Bahrain,2010,Population mid-year estimates (millions),1.21
48,Bahrain,2010,Population mid-year estimates for males (millions),0.75
48,Bahrain,2010,Population mid-year estimates for females (millions),0.46
48,Bahrain,2010,Sex ratio (males per 100 females),164.3
48,Bahrain,2010,Population aged 0 to 14 years old (percentage),20.4
48,Bahrain,2010,Population aged 60+ years old (percentage),3.6
48,Bahrain,2010,Population density,"1,549.5"
48,Bahrain,2015,Population mid-year estimates (millions),1.37
48,Bahrain,2015,Population mid-year estimates for males (millions),0.85
48,Bahrain,2015,Population mid-year estimates for females (millions),0.52
48,Bahrain,2015,Sex ratio (males per 100 females),162.0
48,Bahrain,2015,Population aged 0 to 14 years old (percentage),20.5
48,Bahrain,2015,Population aged 60+ years old (percentage),4.7
48,Bahrain,2015,Population density,"1,749.2"
48,Bahrain,2022,Population mid-year estimates (millions),1.53
48,Bahrain,2022,Population mid-year estimates for males (millions),0.95
48,Bahrain,2022,Population mid-year estimates for females (millions),0.58
48,Bahrain,2022,Sex ratio (males per 100 females),163.0
48,Bahrain,2022,Population aged 0 to 14 years old (percentage),19.1
48,Bahrain,2022,Population aged 60+ years old (percentage),6.2
48,Bahrain,2022,Population density,"1,958.4"
48,Bahrain,2022,Surface area (thousand km2),1
48,Bahrain,2024,Population mid-year estimates (millions),1.61
48,Bahrain,2024,Population mid-year estimates for males (millions),1.00
48,Bahrain,2024,Population mid-year estimates for females (millions),0.61
48,Bahrain,2024,Sex ratio (males per 100 females),163.4
48,Bahrain,2024,Population aged 0 to 14 years old (percentage),18.7
48,Bahrain,2024,Population aged 60+ years old (percentage),6.7
48,Bahrain,2024,Population density,"2,052.4"
50,Bangladesh,2010,Population mid-year estimates (millions),152.20
50,Bangladesh,2010,Population mid-year estimates for males (millions),75.71
50,Bangladesh,2010,Population mid-year estimates for females (millions),76.49
50,Bangladesh,2010,Sex ratio (males per 100 females),99.0
50,Bangladesh,2010,Population aged 0 to 14 years old (percentage),34.1
50,Bangladesh,2010,Population aged 60+ years old (percentage),6.5
50,Bangladesh,2010,Population density,"1,169.3"
50,Bangladesh,2015,Population mid-year estimates (millions),159.38
50,Bangladesh,2015,Population mid-year estimates for males (millions),78.53
50,Bangladesh,2015,Population mid-year estimates for females (millions),80.86
50,Bangladesh,2015,Sex ratio (males per 100 females),97.1
50,Bangladesh,2015,Population aged 0 to 14 years old (percentage),31.2
50,Bangladesh,2015,Population aged 60+ years old (percentage),7.6
50,Bangladesh,2015,Population density,"1,224.4"
50,Bangladesh,2022,Population mid-year estimates (millions),169.38
50,Bangladesh,2022,Population mid-year estimates for males (millions),83.40
50,Bangladesh,2022,Population mid-year estimates for females (millions),85.99
50,Bangladesh,2022,Sex ratio (males per 100 females),97.0
50,Bangladesh,2022,Population aged 0 to 14 years old (percentage),28.8
50,Bangladesh,2022,Population aged 60+ years old (percentage),9.1
50,Bangladesh,2022,Population density,"1,301.3"
50,Bangladesh,2022,Surface area (thousand km2),148
50,Bangladesh,2024,Population mid-year estimates (millions),173.56
50,Bangladesh,2024,Population mid-year estimates for males (millions),85.34
50,Bangladesh,2024,Population mid-year estimates for females (millions),88.22
50,Bangladesh,2024,Sex ratio (males per 100 females),96.7
50,Bangladesh,2024,Population aged 0 to 14 years old (percentage),28.0
50,Bangladesh,2024,Population aged 60+ years old (percentage),9.5
50,Bangladesh,2024,Population density,"1,333.4"
52,Barbados,2010,Population mid-year estimates (millions),0.28
52,Barbados,2010,Population mid-year estimates for males (millions),0.13
52,Barbados,2010,Population mid-year estimates for females (millions),0.14
52,Barbados,2010,Sex ratio (males per 100 females),91.5
52,Barbados,2010,Population aged 0 to 14 years old (percentage),20.2
52,Barbados,2010,Population aged 60+ years old (percentage),16.6
52,Barbados,2010,Population density,640.1
52,Barbados,2015,Population mid-year estimates (millions),0.28
52,Barbados,2015,Population mid-year estimates for males (millions),0.13
52,Barbados,2015,Population mid-year estimates for females (millions),0.15
52,Barbados,2015,Sex ratio (males per 100 females),91.8
52,Barbados,2015,Population aged 0 to 14 years old (percentage),19.2
52,Barbados,2015,Population aged 60+ years old (percentage),18.6
52,Barbados,2015,Population density,648.8
52,Barbados,2022,Population mid-year estimates (millions),0.28
52,Barbados,2022,Population mid-year estimates for males (millions),0.14
52,Barbados,2022,Population mid-year estimates for females (millions),0.15
52,Barbados,2022,Sex ratio (males per 100 females),92.2
52,Barbados,2022,Population aged 0 to 14 years old (percentage),17.7
52,Barbados,2022,Population aged 60+ years old (percentage),22.4
52,Barbados,2022,Population density,656.6
52,Barbados,2022,Surface area (thousand km2),0
52,Barbados,2024,Population mid-year estimates (millions),0.28
52,Barbados,2024,Population mid-year estimates for males (millions),0.14
52,Barbados,2024,Population mid-year estimates for females (millions),0.15
52,Barbados,2024,Sex ratio (males per 100 females),92.1
52,Barbados,2024,Population aged 0 to 14 years old (percentage),17.2
52,Barbados,2024,Population aged 60+ years old (percentage),23.3
52,Barbados,2024,Population density,656.9
112,Belarus,2010,Population mid-year estimates (millions),9.49
112,Belarus,2010,Population mid-year estimates for males (millions),4.41
112,Belarus,2010,Population mid-year estimates for females (millions),5.08
112,Belarus,2010,Sex ratio (males per 100 females),86.9
112,Belarus,2010,Population aged 0 to 14 years old (percentage),14.8
112,Belarus,2010,Population aged 60+ years old (percentage),19.0
112,Belarus,2010,Population density,46.8
112,Belarus,2015,Population mid-year estimates (millions),9.49
112,Belarus,2015,Population mid-year estimates for males (millions),4.41
112,Belarus,2015,Population mid-year estimates for females (millions),5.07
112,Belarus,2015,Sex ratio (males per 100 females),87.0
112,Belarus,2015,Population aged 0 to 14 years old (percentage),16.2
112,Belarus,2015,Population aged 60+ years old (percentage),20.4
112,Belarus,2015,Population density,46.8
112,Belarus,2022,Population mid-year estimates (millions),9.17
112,Belarus,2022,Population mid-year estimates for males (millions),4.27
112,Belarus,2022,Population mid-year estimates for females (millions),4.90
112,Belarus,2022,Sex ratio (males per 100 females),87.3
112,Belarus,2022,Population aged 0 to 14 years old (percentage),17.0
112,Belarus,2022,Population aged 60+ years old (percentage),24.0
112,Belarus,2022,Population density,45.2
112,Belarus,2022,Surface area (thousand km2),208
112,Belarus,2024,Population mid-year estimates (millions),9.06
112,Belarus,2024,Population mid-year estimates for males (millions),4.22
112,Belarus,2024,Population mid-year estimates for females (millions),4.84
112,Belarus,2024,Sex ratio (males per 100 females),87.3
112,Belarus,2024,Population aged 0 to 14 years old (percentage),16.3
112,Belarus,2024,Population aged 60+ years old (percentage),25.0
112,Belarus,2024,Population density,44.6
56,Belgium,2010,Population mid-year estimates (millions),10.94
56,Belgium,2010,Population mid-year estimates for males (millions),5.37
56,Belgium,2010,Population mid-year estimates for females (millions),5.57
56,Belgium,2010,Sex ratio (males per 100 females),96.4
56,Belgium,2010,Population aged 0 to 14 years old (percentage),16.9
56,Belgium,2010,Population aged 60+ years old (percentage),23.0
56,Belgium,2010,Population density,361.2
56,Belgium,2015,Population mid-year estimates (millions),11.28
56,Belgium,2015,Population mid-year estimates for males (millions),5.55
56,Belgium,2015,Population mid-year estimates for females (millions),5.73
56,Belgium,2015,Sex ratio (males per 100 females),96.8
56,Belgium,2015,Population aged 0 to 14 years old (percentage),17.0
56,Belgium,2015,Population aged 60+ years old (percentage),24.1
56,Belgium,2015,Population density,372.4
56,Belgium,2022,Population mid-year estimates (millions),11.64
56,Belgium,2022,Population mid-year estimates for males (millions),5.74
56,Belgium,2022,Population mid-year estimates for females (millions),5.90
56,Belgium,2022,Sex ratio (males per 100 females),97.2
56,Belgium,2022,Population aged 0 to 14 years old (percentage),16.5
56,Belgium,2022,Population aged 60+ years old (percentage),26.2
56,Belgium,2022,Population density,384.5
56,Belgium,2022,Surface area (thousand km2),31
56,Belgium,2024,Population mid-year estimates (millions),11.74
56,Belgium,2024,Population mid-year estimates for males (millions),5.79
56,Belgium,2024,Population mid-year estimates for females (millions),5.95
56,Belgium,2024,Sex ratio (males per 100 females),97.3
56,Belgium,2024,Population aged 0 to 14 years old (percentage),16.0
56,Belgium,2024,Population aged 60+ years old (percentage),27.2
56,Belgium,2024,Population density,387.7
84,Belize,2010,Population mid-year estimates (millions),0.32
84,Belize,2010,Population mid-year estimates for males (millions),0.16
84,Belize,2010,Population mid-year estimates for females (millions),0.16
84,Belize,2010,Sex ratio (males per 100 females),100.3
84,Belize,2010,Population aged 0 to 14 years old (percentage),35.5
84,Belize,2010,Population aged 60+ years old (percentage),5.9
84,Belize,2010,Population density,14.0
84,Belize,2015,Population mid-year estimates (millions),0.36
84,Belize,2015,Population mid-year estimates for males (millions),0.18
84,Belize,2015,Population mid-year estimates for females (millions),0.18
84,Belize,2015,Sex ratio (males per 100 females),101.2
84,Belize,2015,Population aged 0 to 14 years old (percentage),31.8
84,Belize,2015,Population aged 60+ years old (percentage),6.3
84,Belize,2015,Population density,15.6
84,Belize,2022,Population mid-year estimates (millions),0.40
84,Belize,2022,Population mid-year estimates for males (millions),0.20
84,Belize,2022,Population mid-year estimates for females (millions),0.20
84,Belize,2022,Sex ratio (males per 100 females),101.5
84,Belize,2022,Population aged 0 to 14 years old (percentage),27.6
84,Belize,2022,Population aged 60+ years old (percentage),7.5
84,Belize,2022,Population density,17.7
84,Belize,2022,Surface area (thousand km2),23
84,Belize,2024,Population mid-year estimates (millions),0.42
84,Belize,2024,Population mid-year estimates for males (millions),0.21
84,Belize,2024,Population mid-year estimates for females (millions),0.21
84,Belize,2024,Sex ratio (males per 100 females),101.8
84,Belize,2024,Population aged 0 to 14 years old (percentage),26.6
84,Belize,2024,Population aged 60+ years old (percentage),8.0
84,Belize,2024,Population density,18.3
204,Benin,2010,Population mid-year estimates (millions),9.80
204,Benin,2010,Population mid-year estimates for males (millions),4.88
204,Benin,2010,Population mid-year estimates for females (millions),4.92
204,Benin,2010,Sex ratio (males per 100 females),99.2
204,Benin,2010,Population aged 0 to 14 years old (percentage),43.9
204,Benin,2010,Population aged 60+ years old (percentage),4.7
204,Benin,2010,Population density,86.9
204,Benin,2015,Population mid-year estimates (millions),11.36
204,Benin,2015,Population mid-year estimates for males (millions),5.68
204,Benin,2015,Population mid-year estimates for females (millions),5.68
204,Benin,2015,Sex ratio (males per 100 females),99.9
204,Benin,2015,Population aged 0 to 14 years old (percentage),43.4
204,Benin,2015,Population aged 60+ years old (percentage),4.7
204,Benin,2015,Population density,100.8
204,Benin,2022,Population mid-year estimates (millions),13.76
204,Benin,2022,Population mid-year estimates for males (millions),6.90
204,Benin,2022,Population mid-year estimates for females (millions),6.86
204,Benin,2022,Sex ratio (males per 100 females),100.5
204,Benin,2022,Population aged 0 to 14 years old (percentage),42.1
204,Benin,2022,Population aged 60+ years old (percentage),4.9
204,Benin,2022,Population density,122.0
204,Benin,2022,Surface area (thousand km2),115
204,Benin,2024,Population mid-year estimates (millions),14.46
204,Benin,2024,Population mid-year estimates for males (millions),7.25
204,Benin,2024,Population mid-year estimates for females (millions),7.21
204,Benin,2024,Sex ratio (males per 100 females),100.6
204,Benin,2024,Population aged 0 to 14 years old (percentage),41.6
204,Benin,2024,Population aged 60+ years old (percentage),5.0
204,Benin,2024,Population density,128.3
60,Bermuda,2010,Population mid-year estimates (millions),0.06
60,Bermuda,2010,Population mid-year estimates for males (millions),0.03
60,Bermuda,2010,Population mid-year estimates for females (millions),0.03
60,Bermuda,2010,Sex ratio (males per 100 females),98.9
60,Bermuda,2010,Population aged 0 to 14 years old (percentage),16.6
60,Bermuda,2010,Population aged 60+ years old (percentage),19.2
60,Bermuda,2010,Population density,"1,180.1"
60,Bermuda,2015,Population mid-year estimates (millions),0.06
60,Bermuda,2015,Population mid-year estimates for males (millions),0.03
60,Bermuda,2015,Population mid-year estimates for females (millions),0.03
60,Bermuda,2015,Sex ratio (males per 100 females),98.5
60,Bermuda,2015,Population aged 0 to 14 years old (percentage),15.3
60,Bermuda,2015,Population aged 60+ years old (percentage),22.7
60,Bermuda,2015,Population density,"1,175.3"
60,Bermuda,2022,Population mid-year estimates (millions),0.06
60,Bermuda,2022,Population mid-year estimates for males (millions),0.03
60,Bermuda,2022,Population mid-year estimates for females (millions),0.03
60,Bermuda,2022,Sex ratio (males per 100 females),96.1
60,Bermuda,2022,Population aged 0 to 14 years old (percentage),14.1
60,Bermuda,2022,Population aged 60+ years old (percentage),28.0
60,Bermuda,2022,Population density,"1,199.0"
60,Bermuda,2022,Surface area (thousand km2),0
60,Bermuda,2024,Population mid-year estimates (millions),0.06
60,Bermuda,2024,Population mid-year estimates for males (millions),0.03
60,Bermuda,2024,Population mid-year estimates for females (millions),0.03
60,Bermuda,2024,Sex ratio (males per 100 females),95.8
60,Bermuda,2024,Population aged 0 to 14 years old (percentage),13.6
60,Bermuda,2024,Population aged 60+ years old (percentage),29.9
60,Bermuda,2024,Population density,"1,197.0"
64,Bhutan,2010,Population mid-year estimates (millions),0.70
64,Bhutan,2010,Population mid-year estimates for males (millions),0.38
64,Bhutan,2010,Population mid-year estimates for females (millions),0.32
64,Bhutan,2010,Sex ratio (males per 100 females),116.4
64,Bhutan,2010,Population aged 0 to 14 years old (percentage),29.4
64,Bhutan,2010,Population aged 60+ years old (percentage),7.4
64,Bhutan,2010,Population density,18.3
64,Bhutan,2015,Population mid-year estimates (millions),0.74
64,Bhutan,2015,Population mid-year estimates for males (millions),0.40
64,Bhutan,2015,Population mid-year estimates for females (millions),0.34
64,Bhutan,2015,Sex ratio (males per 100 females),116.6
64,Bhutan,2015,Population aged 0 to 14 years old (percentage),27.0
64,Bhutan,2015,Population aged 60+ years old (percentage),8.3
64,Bhutan,2015,Population density,19.3
64,Bhutan,2022,Population mid-year estimates (millions),0.78
64,Bhutan,2022,Population mid-year estimates for males (millions),0.42
64,Bhutan,2022,Population mid-year estimates for females (millions),0.36
64,Bhutan,2022,Sex ratio (males per 100 females),115.3
64,Bhutan,2022,Population aged 0 to 14 years old (percentage),22.0
64,Bhutan,2022,Population aged 60+ years old (percentage),9.2
64,Bhutan,2022,Population density,20.3
64,Bhutan,2022,Surface area (thousand km2),38
64,Bhutan,2024,Population mid-year estimates (millions),0.79
64,Bhutan,2024,Population mid-year estimates for males (millions),0.42
64,Bhutan,2024,Population mid-year estimates for females (millions),0.37
64,Bhutan,2024,Sex ratio (males per 100 females),114.8
64,Bhutan,2024,Population aged 0 to 14 years old (percentage),20.9
64,Bhutan,2024,Population aged 60+ years old (percentage),9.6
64,Bhutan,2024,Population density,20.6
68,Bolivia (Plurin. State of),2010,Population mid-year estimates (millions),10.18
68,Bolivia (Plurin. State of),2010,Population mid-year estimates for males (millions),5.14
68,Bolivia (Plurin. State of),2010,Population mid-year estimates for females (millions),5.04
68,Bolivia (Plurin. State of),2010,Sex ratio (males per 100 females),101.9
68,Bolivia (Plurin. State of),2010,Population aged 0 to 14 years old (percentage),34.4
68,Bolivia (Plurin. State of),2010,Population aged 60+ years old (percentage),7.9
68,Bolivia (Plurin. State of),2010,Population density,9.4
68,Bolivia (Plurin. State of),2015,Population mid-year estimates (millions),11.01
68,Bolivia (Plurin. State of),2015,Population mid-year estimates for males (millions),5.55
68,Bolivia (Plurin. State of),2015,Population mid-year estimates for females (millions),5.46
68,Bolivia (Plurin. State of),2015,Sex ratio (males per 100 females),101.6
68,Bolivia (Plurin. State of),2015,Population aged 0 to 14 years old (percentage),32.6
68,Bolivia (Plurin. State of),2015,Population aged 60+ years old (percentage),8.1
68,Bolivia (Plurin. State of),2015,Population density,10.2
68,Bolivia (Plurin. State of),2022,Population mid-year estimates (millions),12.08
68,Bolivia (Plurin. State of),2022,Population mid-year estimates for males (millions),6.05
68,Bolivia (Plurin. State of),2022,Population mid-year estimates for females (millions),6.02
68,Bolivia (Plurin. State of),2022,Sex ratio (males per 100 females),100.5
68,Bolivia (Plurin. State of),2022,Population aged 0 to 14 years old (percentage),30.5
68,Bolivia (Plurin. State of),2022,Population aged 60+ years old (percentage),8.3
68,Bolivia (Plurin. State of),2022,Population density,11.1
68,Bolivia (Plurin. State of),2022,Surface area (thousand km2),"1,099"
68,Bolivia (Plurin. State of),2024,Population mid-year estimates (millions),12.41
68,Bolivia (Plurin. State of),2024,Population mid-year estimates for males (millions),6.22
68,Bolivia (Plurin. State of),2024,Population mid-year estimates for females (millions),6.19
68,Bolivia (Plurin. State of),2024,Sex ratio (males per 100 females),100.4
68,Bolivia (Plurin. State of),2024,Population aged 0 to 14 years old (percentage),29.8
68,Bolivia (Plurin. State of),2024,Population aged 60+ years old (percentage),8.5
68,Bolivia (Plurin. State of),2024,Population density,11.5
535,"Bonaire, St. Eustatius & Saba",2010,Population mid-year estimates (millions),0.02
535,"Bonaire, St. Eustatius & Saba",2010,Population mid-year estimates for males (millions),0.01
535,"Bonaire, St. Eustatius & Saba",2010,Population mid-year estimates for females (millions),0.01
535,"Bonaire, St. Eustatius & Saba",2010,Sex ratio (males per 100 females),112.9
535,"Bonaire, St. Eustatius & Saba",2010,Population aged 0 to 14 years old (percentage),18.8
535,"Bonaire, St. Eustatius & Saba",2010,Population aged 60+ years old (percentage),14.0
535,"Bonaire, St. Eustatius & Saba",2010,Population density,62.7
535,"Bonaire, St. Eustatius & Saba",2015,Population mid-year estimates (millions),0.02
